Value,Row,Column
1232.822991,2,88
1232.002297,2,89
1231.742537,2,90
1232.106442,2,91
1232.860652,2,92
1233.89606,2,93
1235.224685,2,94
1237.058047,2,95
1238.610205,2,96
1239.069526,2,97
1239.06124,2,98
1239.032285,2,99
1239.018786,2,100
1239.071503,2,101
1239.142125,2,102
1239.180784,2,103
1239.21769,2,104
1239.276006,2,105
1239.362951,2,106
1239.477073,2,107
1239.521703,2,108
1239.379312,2,109
1239.066065,2,110
1238.623933,2,111
1238.142585,2,112
1237.750279,2,113
1237.429991,2,114
1237.162324,2,115
1236.917862,2,116
1236.661301,2,117
1236.433221,2,118
1236.246859,2,119
1236.182456,2,120
1236.298181,2,121
1236.524874,2,122
1236.789344,2,123
1237.012417,2,124
1237.10963,2,125
1237.087776,2,126
1236.939063,2,127
1236.669984,2,128
1236.28103,2,129
1235.918671,2,130
1235.726037,2,131
1235.67642,2,132
1235.721213,2,133
1235.711476,2,134
1235.476223,2,135
1235.091758,2,136
1234.626715,2,137
1234.215415,2,138
1233.987996,2,139
1233.918008,2,140
1233.980326,2,141
1234.142944,2,142
1234.382169,2,143
1234.624567,2,144
1234.79971,2,145
1234.765682,2,146
1234.411514,2,147
1233.837324,2,148
1233.174211,2,149
1232.60926,2,150
1232.305298,2,151
1232.160709,2,152
1232.058788,2,153
1232.019284,2,154
1232.079344,2,155
1232.295194,2,156
1232.716615,2,157
1233.130088,2,158
1233.326797,2,159
1233.378609,2,160
1233.366306,2,161
1233.323354,2,162
1233.263676,2,163
1233.144619,2,164
1232.926106,2,165
1232.795814,2,166
1232.948599,2,167
1233.325765,2,168
1233.847393,2,169
1234.366334,2,170
1234.641979,2,171
1234.796786,2,172
1234.750167,2,173
1234.803297,2,174
1235.224196,2,175
1235.800997,2,176
1236.383582,2,177
1236.932279,2,178
1237.369266,2,179
1237.669001,2,180
1237.815984,2,181
1237.798239,2,182
1237.665314,2,183
1237.423928,2,184
1237.135198,2,185
1236.811522,2,186
1236.497811,2,187
1236.140201,2,188
1235.722856,2,189
1235.032903,2,190
1233.55442,2,191
1231.978175,2,192
1230.823213,2,193
1230.112397,2,194
1230.319974,2,195
1230.901466,2,196
1246.594768,3,0
1246.259584,3,1
1245.931358,3,2
1245.692226,3,3
1245.600398,3,4
1245.721483,3,5
1245.991721,3,6
1246.182634,3,7
1246.281939,3,8
1246.220068,3,9
1246.112861,3,10
1246.104529,3,11
1246.128552,3,12
1246.119021,3,13
1246.056859,3,14
1246.00112,3,15
1245.88624,3,16
1245.722928,3,17
1245.556108,3,18
1245.453527,3,19
1245.486418,3,20
1245.694549,3,21
1246.050399,3,22
1246.487027,3,23
1246.885139,3,24
1247.061484,3,25
1247.072339,3,26
1246.720205,3,27
1246.265078,3,28
1245.728974,3,29
1245.147376,3,30
1244.500788,3,31
1243.894429,3,32
1243.381701,3,33
1243.043236,3,34
1242.885943,3,35
1242.834899,3,36
1242.799114,3,37
1242.720149,3,38
1242.626669,3,39
1242.513854,3,40
1242.441357,3,41
1242.398977,3,42
1242.374079,3,43
1242.384249,3,44
1242.427404,3,45
1242.473893,3,46
1242.430766,3,47
1242.401349,3,48
1242.498043,3,49
1242.676088,3,50
1243.059,3,51
1243.389405,3,52
1243.538617,3,53
1243.482365,3,54
1243.18601,3,55
1242.742396,3,56
1242.204439,3,57
1241.630285,3,58
1241.056219,3,59
1240.546106,3,60
1240.149244,3,61
1239.881265,3,62
1239.732061,3,63
